"2025-02-04 17:31:21,Indore,24\u00baC"
"2025-02-04 17:31:23,Chicago,18\u00baC"
"2025-02-04 17:31:24,Mumbai,30\u00baC"
"2025-02-04 17:31:25,Indore,24\u00baC"
"2025-02-04 17:31:26,Chicago,22\u00baC"
"2025-02-04 17:31:27,Delhi,27\u00baC"
"2025-02-04 17:31:28,Indore,30\u00baC"
"2025-02-04 17:31:29,Delhi,18\u00baC"
"2025-02-04 17:31:30,Indore,18\u00baC"
"2025-02-04 17:31:31,Indore,20\u00baC"
"2025-02-04 17:36:37,Mumbai,24\u00baC"
"2025-02-04 17:36:38,Delhi,27\u00baC"
"2025-02-04 17:36:39,Chicago,30\u00baC"
"2025-02-04 17:36:40,Chicago,31\u00baC"
"2025-02-04 17:36:41,Indore,21\u00baC"
"2025-02-04 17:36:42,Delhi,24\u00baC"
"2025-02-04 17:36:43,Indore,27\u00baC"
"2025-02-04 17:36:44,Delhi,25\u00baC"
"2025-02-04 17:36:45,Delhi,19\u00baC"
"2025-02-04 17:36:46,Delhi,28\u00baC"
"2025-02-04 17:39:50,Delhi,18\u00baC"
"2025-02-04 17:39:51,Mumbai,25\u00baC"
"2025-02-04 17:39:52,Delhi,28\u00baC"
"2025-02-04 17:39:53,NY,24\u00baC"
"2025-02-04 17:39:54,Chicago,28\u00baC"
"2025-02-04 17:39:55,Indore,20\u00baC"
"2025-02-04 17:39:56,Delhi,24\u00baC"
"2025-02-04 17:39:57,Chicago,19\u00baC"
"2025-02-04 17:39:58,Delhi,26\u00baC"
"2025-02-04 17:39:59,Mumbai,27\u00baC"
"2025-02-04 17:41:52,NY,23\u00baC"
"2025-02-04 17:41:53,NY,24\u00baC"
"2025-02-04 17:41:54,Delhi,21\u00baC"
"2025-02-04 17:41:55,Chicago,31\u00baC"
"2025-02-04 17:41:56,Mumbai,28\u00baC"
"2025-02-04 17:41:57,Delhi,24\u00baC"
"2025-02-04 17:41:58,Mumbai,26\u00baC"
"2025-02-04 17:41:59,Mumbai,18\u00baC"
"2025-02-04 17:42:01,NY,26\u00baC"
"2025-02-04 17:42:02,Indore,32\u00baC"
"2025-02-06 17:55:25,Mumbai,21 degreeCelcius"
"2025-02-06 17:55:26,Chicago,25 degreeCelcius"
"2025-02-06 17:55:27,Indore,26 degreeCelcius"
"2025-02-06 17:55:28,Delhi,32 degreeCelcius"
"2025-02-06 17:55:29,Mumbai,30 degreeCelcius"
"2025-02-06 17:55:30,Chicago,32 degreeCelcius"
"2025-02-06 17:55:31,Mumbai,20 degreeCelcius"
"2025-02-06 17:55:32,Mumbai,20 degreeCelcius"
"2025-02-06 17:55:33,Chicago,27 degreeCelcius"
"2025-02-06 17:55:34,Indore,32 degreeCelcius"
"2025-02-06 17:56:13,NY,31\u00baC"
"2025-02-06 17:56:14,Indore,19\u00baC"
"2025-02-06 17:56:15,NY,22\u00baC"
"2025-02-06 17:56:16,Mumbai,27\u00baC"
"2025-02-06 17:56:17,NY,25\u00baC"
"2025-02-06 17:56:18,Chicago,32\u00baC"
"2025-02-06 17:56:19,NY,18\u00baC"
"2025-02-06 17:56:20,NY,25\u00baC"
"2025-02-06 17:56:21,Chicago,25\u00baC"
"2025-02-06 17:56:22,Delhi,24\u00baC"
"2025-02-06 17:59:14,Indore,19\u00baC"
"2025-02-06 17:59:15,Indore,31\u00baC"
"2025-02-06 17:59:16,NY,27\u00baC"
"2025-02-06 17:59:17,Delhi,24\u00baC"
"2025-02-06 17:59:18,Delhi,18\u00baC"
"2025-02-06 17:59:19,NY,23\u00baC"
"2025-02-06 17:59:20,Indore,29\u00baC"
"2025-02-06 17:59:21,Mumbai,30\u00baC"
"2025-02-06 17:59:22,Chicago,27\u00baC"
"2025-02-06 17:59:23,NY,18\u00baC"
"""2025-02-06 18:05:36",Indore,1900
"""2025-02-06 18:05:37",NY,2400
"""2025-02-06 18:05:38",Mumbai,3000
"""2025-02-06 18:05:39",Chicago,2200
"""2025-02-06 18:05:40",NY,3200
"""2025-02-06 18:05:41",Chicago,2000
"""2025-02-06 18:05:42",NY,3200
"""2025-02-06 18:05:43",Mumbai,2200
"""2025-02-06 18:05:44",Chicago,2300
"""2025-02-06 18:05:45",Chicago,2900
"""2025-02-06 18:06:51",Chicago,2400
"""2025-02-06 18:06:52",Chicago,2400
"""2025-02-06 18:06:53",NY,2100
"""2025-02-06 18:06:54",Delhi,3200
"""2025-02-06 18:06:55",Delhi,2000
"""2025-02-06 18:06:56",Delhi,2800
"""2025-02-06 18:06:57",Indore,2200
"""2025-02-06 18:06:58",Delhi,2300
"""2025-02-06 18:06:59",Indore,2000
"""2025-02-06 18:07:00",Indore,2200
